"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"20","124.73476554027512","142.0712263905059","0.0120849609375","0.015869140625","0.00830078125","1560","0.0004326950271861591","24","0.0004326950271861591","0","0.0004326950271861591","0.0004326950271861591","21:68","21:0.002723567973241192","21:0.0033237912014480453","0.0120849609375","Yes"
"21","178.7753339828578","160.11998667713328","0.013671875","0.015380859375","0.011962890625","1560","0.0002405920419659418","24","0.0002405920419659418","0","0.0002405920419659418","0.0002405920419659418","36:68;20:68;22:68","36:0.005759390547552756;20:0.002723567973241192;22:0.002560382692297719","36:0.004407213265640725;20:0.0033237912014480453;22:0.002237687324264187","0.013671875","Yes"
"22","173.3680551105521","149.77034412470073","0.0087890625","0.012451171875","0.005126953125","1560","0.0001924124883595376","24","0.0001924124883595376","0","0.0001924124883595376","0.0001924124883595376","23:68;21:68","23:0.0019392849158422487;21:0.002560382692297719","23:0.0019345958123854756;21:0.002237687324264187","0.0087890625","Yes"
"23","111.45617544953586","123.13951135418334","0.004638671875","0.00537109375","0.00390625","1560","0.00019891802100380243","24","0.00019891802100380243","0","0.00019891802100380243","0.00019891802100380243","22:68;24:68;16:68","22:0.0019392849158422487;24:0.0043241569535975855;16:0.003188043644783839","22:0.0019345958123854756;24:0.002652410888909218;16:0.002713660903034154","0.004638671875","Yes"
"24","277.12272408434654","239.9764808551026","0.02392578125","0.032958984375","0.014892578125","1560","0.0004905888110415028","24","0.0004905888110415028","0","0.0004905888110415028","0.0004905888110415028","23:68;25:68","23:0.0043241569535975855;25:0.02422745069838697","23:0.002652410888909218;25:0.0637386272174785","0.02392578125","Yes"
"25","173.2743592384615","136.17582303221633","0.0244140625","0.031005859375","0.017822265625","1560","0.00030262436247651444","24","0.00030262436247651444","0","0.00030262436247651444","0.00030262436247651444","24:68;26:68;37:68","24:0.02422745069838697;26:0.002070181725980752;37:0.0026316314846303035","24:0.0637386272174785;26:0.002113279592634465;37:0.005195176035575261","0.0244140625","Yes"
"26","174.53412097479986","103.8050526163565","0.016845703125","0.019287109375","0.014404296875","1560","0.0002442628034968715","24","0.0002442628034968715","0","0.0002442628034968715","0.0002442628034968715","25:68;27:68","25:0.002070181725980752;27:0.022805137025183803","25:0.002113279592634465;27:0.027053350172467544","0.016845703125","Yes"
"27","121.59193039854361","116.81621145735883","0.018798828125","0.02001953125","0.013671875","1560","0.0038537692076640417","24","0.0038537692076640417","0","0.0038537692076640417","0.0038537692076640417","26:68;28:68;17:68","26:0.022805137025183803;17:0.026119437906629572","26:0.027053350172467544;17:0.03532422686523348","0.018798828125","Yes"
"28","153.91145177352584","153.11435139988416","0.00927734375","0.011962890625","0.006591796875","1560","0.0002896417836847834","24","0.0002896417836847834","0","0.0002896417836847834","0.0002896417836847834","27:68;29:68","29:0.0033955026143501488","29:0.0026194243449371435","0.00927734375","Yes"
"29","218.6011583746072","51.14953029632559","0.018798828125","0.02001953125","0.017578125","1560","0.0001831986702173997","24","0.0001831986702173997","0","0.0001831986702173997","0.0001831986702173997","38:68;28:68;30:68","38:0.00201011325832981;28:0.0033955026143501488;30:0.0021495381504267608","38:0.0026197139509423206;28:0.0026194243449371435;30:0.002155066312501952","0.018798828125","Yes"
"30","123.87108746275737","67.00618218466357","0.0068359375","0.0078125","0.005859375","1560","0.0002470634817607159","24","0.0002470634817607159","0","0.0002470634817607159","0.0002470634817607159","31:68;29:68","31:0.003413182727567271;29:0.0021495381504267608","31:0.0030991930459361716;29:0.002155066312501952","0.0068359375","Yes"
"31","108.76613397184613","66.32908509300297","0.0133056640625","0.018310546875","0.00830078125","1560","0.0008969351013794376","24","0.0008969351013794376","0","0.0008969351013794376","0.0008969351013794376","30:68;32:68;18:68","30:0.003413182727567271;32:0.038301892346854244;18:0.004453689543706729","30:0.0030991930459361716;32:0.007405048752403998;18:0.0025224979148123494","0.0133056640625","Yes"
"32","121.20671948626375","112.35263758357841","0.029052734375","0.033203125","0.02490234375","1560","0.00032055142445295344","24","0.00032055142445295344","0","0.00032055142445295344","0.00032055142445295344","31:68;33:68","31:0.038301892346854244","31:0.007405048752403998","0.029052734375","Yes"
"33","166.93240753487964","122.49658131117846","0.018798828125","0.020263671875","0.017333984375","1560","0.00014455449661294936","24","0.00014455449661294936","0","0.00014455449661294936","0.00014455449661294936","39:68;32:68;34:68","39:0.001906270292407336;34:0.00223779401081603","39:0.001633546597126001;34:0.0021612422094373918","0.018798828125","Yes"
"34","118.2388637845797","70.0578971759469","0.0146484375","0.01806640625","0.01123046875","1560","0.00037486635740814346","24","0.00037486635740814346","0","0.00037486635740814346","0.00037486635740814346","33:68;35:68","33:0.00223779401081603;35:0.002011672462825659","33:0.0021612422094373918;35:0.0024606339582937398","0.0146484375","Yes"
"35","87.87566625638995","39.10200933133217","0.015380859375","0.02294921875","0.0078125","1560","0.00021533668823039764","24","0.00021533668823039764","0","0.00021533668823039764","0.00021533668823039764","19:68;34:68","19:0.002947852619153285;34:0.002011672462825659","19:0.002978401619837978;34:0.0024606339582937398","0.015380859375","Yes"
"36","132.61975419108134","115.86859636917444","0.008544921875","0.006591796875","0.010498046875","1560","0.0002837171249326592","24","0.0002837171249326592","0","0.0002837171249326592","0.0002837171249326592","41:68;21:68","41:0.0022420999549935816;21:0.005759390547552756","41:0.0019137119588878704;21:0.004407213265640725","0.008544921875","Yes"
"37","169.1224769590257","162.25673074172306","0.0166015625","0.0234375","0.009765625","1560","0.0002728861433138959","24","0.0002728861433138959","0","0.0002728861433138959","0.0002728861433138959","45:68;25:68","45:0.0028369741189080977;25:0.0026316314846303035","45:0.0021954827336239657;25:0.005195176035575261","0.0166015625","Yes"
