"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"56","252.23142552970023","43.28023383182345","0.010986328125","0.016357421875","0.005615234375","2280","0.00033477114143628557","32","0.00033477114143628557","0","0.00033477114143628557","0.00033477114143628557","63:0.0029400504887458767;43:0.00463935921460093","63:68;43:68","63:0.002437775760626565;43:0.003986718124066896","0.010986328125","0.011962890625","Yes"
"57","260.04757826504294","297.1853824703366","0.0068359375","0.009521484375","0.004150390625","2280","0.0001848017037508446","32","0.0001848017037508446","0","0.0001848017037508446","0.0001848017037508446","47:0.001862401177930767;67:0.0023511137109724356","47:68;67:68","47:0.002138423230869435;67:0.0015390454159252276","0.0068359375","0.005615234375","Yes"
"58","322.9639623557785","172.75386235290208","0.024169921875","0.0146484375","0.03369140625","2280","0.00017472156665894855","32","0.00017472156665894855","0","0.00017472156665894855","0.00017472156665894855","71:0.001475295850788455;51:0.0016640541352989369","71:68;51:68","71:0.0021267870613411732;51:0.0014881894175348964","0.024169921875","0.018310546875","Yes"
"59","387.2800899377279","522.5918734073061","0.006591796875","0.006103515625","0.007080078125","2280","0.00017464338003524314","32","0.00017464338003524314","0","0.00017464338003524314","0.00017464338003524314","55:0.0010096097630850065;75:0.001059705698945257","55:68;75:68","55:0.0008541115850314307;75:0.00098042727074088","0.006591796875","0.00341796875","Yes"
"60","155.83902145212286","30.552614151202356","0.0059814453125","0.0068359375","0.005126953125","2280","0.0003343554343650942","32","0.0003343554343650942","0","0.0003343554343650942","0.0003343554343650942","61:0.002790089758793274","61:68","61:0.0026156388982813417","0.0059814453125","0.00390625","Yes"
"61","196.20692294286582","33.17998212174105","0.0091552734375","0.00927734375","0.005615234375","2280","0.00030400813325485445","32","0.00030400813325485445","0","0.00030400813325485445","0.00030400813325485445","76:0.0024003010163785587;60:0.002790089758793274;62:0.0022162822750474986","76:68;60:68;62:68","76:0.0028877279682422985;60:0.0026156388982813417;62:0.002265180412128587","0.0091552734375","0.008056640625","Yes"
"62","336.4361695498827","97.21900347318085","0.0220947265625","0.01318359375","0.031005859375","2280","0.0001983218512491195","32","0.0001983218512491195","0","0.0001983218512491195","0.0001983218512491195","61:0.0022162822750474986;63:0.002139469333134414","61:68;63:68","61:0.002265180412128587;63:0.0026794028637601164","0.0220947265625","0.015380859375","Yes"
"63","392.01190311444407","55.13077374665637","0.01025390625","0.008056640625","0.012451171875","2280","0.00031631451261823973","32","0.00031631451261823973","0","0.00031631451261823973","0.00031631451261823973","56:0.0029400504887458767;62:0.002139469333134414;64:0.003038189550410769","56:68;62:68;64:68","56:0.002437775760626565;62:0.0026794028637601164;64:0.003154154457128966","0.01025390625","0.027099609375","Yes"
"64","230.18554429235456","130.2702095375232","0.0045166015625","0.007568359375","0.00146484375","2280","0.00023006626630102216","32","0.00023006626630102216","0","0.00023006626630102216","0.00023006626630102216","65:0.0014603694496375386;63:0.003038189550410769","65:68;63:68","65:0.001718704649998265;63:0.003154154457128966","0.0045166015625","0.005126953125","Yes"
"65","267.3297826230621","298.1198393266446","0.0123291015625","0.01953125","0.005126953125","2280","0.0008971166217305167","32","0.0008971166217305167","0","0.0008971166217305167","0.0008971166217305167","64:0.0014603694496375386;66:0.001540495589524432;77:0.0017504358325491076","64:68;66:68;77:68","64:0.001718704649998265;66:0.0019416624959169015;77:0.0013353993604624526","0.0123291015625","0.00634765625","Yes"
"66","116.76872854000746","136.45155508885583","0.0079345703125","0.01513671875","0.000732421875","2280","0.00033765575018768044","32","0.00033765575018768044","0","0.00033765575018768044","0.00033765575018768044","65:0.001540495589524432;67:0.0030693289204651863","65:68;67:68","65:0.0019416624959169015;67:0.0020379024419070746","0.0079345703125","0.003173828125","Yes"
"67","350.30150935676573","360.103261706797","0.009765625","0.01318359375","0.00634765625","2280","0.0001873056225160601","32","0.0001873056225160601","0","0.0001873056225160601","0.0001873056225160601","68:0.0016924641216999325;57:0.0023511137109724356;66:0.0030693289204651863","68:68;57:68;66:68","68:0.0017194706544928495;57:0.0015390454159252276;66:0.0020379024419070746","0.009765625","0.0068359375","Yes"
"68","263.49401633063826","161.86153999603187","0.00439453125","0.007080078125","0.001708984375","2280","0.00012631018957855807","32","0.00012631018957855807","0","0.00012631018957855807","0.00012631018957855807","67:0.0016924641216999325;69:0.001891768466408289","67:68;69:68","67:0.0017194706544928495;69:0.0013725262302487218","0.00439453125","0.00732421875","Yes"
"69","293.42619251073853","258.0770603729696","0.0062255859375","0.0048828125","0.007568359375","2280","0.00017639016082390274","32","0.00017639016082390274","0","0.00017639016082390274","0.00017639016082390274","78:0.0032845308651872906;68:0.001891768466408289;70:0.002301310608370577","78:68;68:68;70:68","78:0.0018543375826889086;68:0.0013725262302487218;70:0.001555812553987873","0.0062255859375","0.008544921875","Yes"
"70","253.2749373700256","261.6014343716001","0.0196533203125","0.016357421875","0.02294921875","2280","0.00014446936337088803","32","0.00014446936337088803","0","0.00014446936337088803","0.00014446936337088803","69:0.002301310608370577;71:0.0016816150706201738","69:68;71:68","69:0.001555812553987873;71:0.0024152076529303512","0.0196533203125","0.04248046875","Yes"
"71","79.21944402238536","48.776975584664044","0.0084228515625","0.01025390625","0.006591796875","2280","0.0003304759791881577","32","0.0003304759791881577","0","0.0003304759791881577","0.0003304759791881577","72:0.0012915587297036013;58:0.001475295850788455;70:0.0016816150706201738","72:68;58:68;70:68","72:0.002327418797925529;58:0.0021267870613411732;70:0.0024152076529303512","0.0084228515625","0.008544921875","Yes"
"72","313.86695662343544","129.80385059162296","0.061767578125","0.11669921875","0.0068359375","2280","0.00019560270691594537","32","0.00019560270691594537","0","0.00019560270691594537","0.00019560270691594537","73:0.0014955901549618678;71:0.0012915587297036013","73:68;71:68","73:0.0018995833168907739;71:0.002327418797925529","0.061767578125","0.032470703125","Yes"
