"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"14","190.42527847367097","78.30448697472374","0.0032958984375","0.004150390625","0.00244140625","2584","0.00020871281733373726","36","0.00020871281733373726","0","0.00020871281733373726","0.00020871281733373726","15:0.0014900376636316492;13:0.0017674164092981448","15:68;13:80","15:0.0012074876167871285;13:0.0016289635567043326","0.0032958984375","Yes"
"15","245.37036534136206","27.04289583705731","0.00537109375","0.004150390625","0.006591796875","2584","0.00010764961808647379","36","0.00010764961808647379","0","0.00010764961808647379","0.00010764961808647379","14:0.0014900376636316492;19:0.001212100874687233","14:68;19:68","14:0.0012074876167871285;19:0.001264100458966716","0.00537109375","Yes"
"16","117.57337155445259","41.202944301816636","0.016845703125","0.02099609375","0.0126953125","2584","0.00032323667675840005","36","0.00032323667675840005","0","0.00032323667675840005","0.00032323667675840005","23:0.002194286533109241;3:0.002395412321170992","23:68;3:68","23:0.0024341198065121195;3:0.004575604497328356","0.016845703125","Yes"
"17","303.18163441823555","10.771502579319954","0.0030517578125","0.00390625","0.002197265625","2584","0.00029644796000507265","36","0.00029644796000507265","0","0.00029644796000507265","0.00029644796000507265","7:0.0022544291099845237;27:0.0024531595580256083","7:68;27:68","7:0.0016653152419907613;27:0.0019074331910155784","0.0030517578125","Yes"
"18","106.15677171467414","78.46527717065695","0.0087890625","0.0146484375","0.0029296875","2584","0.00039241075098165267","36","0.00039241075098165267","0","0.00039241075098165267","0.00039241075098165267","11:0.0022270834502200187;31:0.002703982295634788","11:68;31:68","11:0.001650146326556523;31:0.0019381983196110897","0.0087890625","Yes"
"19","158.170711666215","65.52638417741981","0.00439453125","0.005859375","0.0029296875","2584","0.0001772584145412856","36","0.0001772584145412856","0","0.0001772584145412856","0.0001772584145412856","35:0.001520097880232718;15:0.001212100874687233","35:80;15:68","35:0.002346565155686181;15:0.001264100458966716","0.00439453125","Yes"
"20","149.9680022205869","143.0888010395657","0.009033203125","0.011474609375","0.006591796875","2584","0.0005105934530875579","36","0.0005105934530875579","0","0.0005105934530875579","0.0005105934530875579","21:0.002118593556832138","21:68","21:0.001760525023131676","0.009033203125","Yes"
"21","169.11955295348795","137.34067977506436","0.01025390625","0.009765625","0.0107421875","2584","0.00013204878474402793","36","0.00013204878474402793","0","0.00013204878474402793","0.00013204878474402793","36:0.0018767851887815101;20:0.002118593556832138;22:0.00140244433630346","36:68;20:68;22:68","36:0.0020383405891842843;20:0.001760525023131676;22:0.00219385838736455","0.01025390625","Yes"
"22","212.26592037089117","43.476072701119946","0.004638671875","0.008056640625","0.001220703125","2584","0.0003426790381219854","36","0.0003426790381219854","0","0.0003426790381219854","0.0003426790381219854","23:0.0028828895342498384;21:0.00140244433630346","23:68;21:68","23:0.002736930695970946;21:0.00219385838736455","0.004638671875","Yes"
"23","172.14046136340252","92.31891260105573","0.0313720703125","0.035888671875","0.02685546875","2584","0.00023279146414645452","36","0.00023279146414645452","0","0.00023279146414645452","0.00023279146414645452","22:0.0028828895342498384;24:0.004934136663587496;16:0.002194286533109241","22:68;24:68;16:68","22:0.002736930695970946;24:0.0022368605880740133;16:0.0024341198065121195","0.0313720703125","Yes"
"24","180.73953859414","94.20438235779054","0.0091552734375","0.013671875","0.004638671875","2584","0.00042626863900690706","36","0.00042626863900690706","0","0.00042626863900690706","0.00042626863900690706","23:0.004934136663587496;25:0.0034603871283949428","23:68;25:68","23:0.0022368605880740133;25:0.0029745787706207116","0.0091552734375","Yes"
